"ZipCode","ZIP_AverageHomeValue","ZIP_AverageIncome","ZIP_Population","ZIP_LandArea"
63803,63700,21515,7482,2.256
69209,90700,37557,73146,17.623
49051,78500,30587,24884,10.29
68224,392500,82876,32950,7.237
89143,58800,26316,14648,8.414
80445,60600,24481,49416,14.624
47114,74600,32850,80324,27.324
86850,257100,72482,21665,6.988
87208,272900,65838,22124,2.189
95818,184000,40568,41891,11.318
46164,100400,37820,13947,3.452
70396,92800,36530,34034,5.842
61711,905100,158418,20892,4.717
88023,231700,51677,3506,1.12
95130,89300,36550,55029,11.397
53620,115500,37986,66551,11.401
93965,316800,84227,31571,12.532
71150,497400,76457,26934,7.246
53642,89400,35059,28682,8.267
68294,118800,42895,14043,3.462
80765,146100,57754,28794,10.337
89268,118900,46158,17177,6.72
84930,111800,40354,15949,12.487
79689,107600,28193,17101,6.65
76086,286600,55434,30483,6.577
74728,175400,38743,24296,3.768
68756,75800,33256,27066,26.856
83073,179800,37005,55406,8.703
66586,325700,77345,13266,4.611
59317,0,16227,468,6.538
97795,311700,74579,33395,7.408
48086,128200,51756,13373,4.597
94574,0,58337,2331,0.441
75412,314700,59681,24112,5.046
48582,43600,40182,18450,13.514
65109,336100,44600,23253,3.319
81840,262400,49084,49004,5.598
72593,60600,32209,18552,103.965
69356,123300,61500,15920,90.301
64382,127300,53203,14120,49.531
53414,158500,75806,11831,80.22
74747,89900,50293,4334,82.251
79291,78700,50795,1118,78.498
49466,115100,56875,3136,48.702
57175,80700,43750,2893,74.013
57734,68800,35857,2456,161.367
64310,87700,40349,14411,139.769
49749,145800,61094,1076,36.6
83554,92800,54663,2883,73.044
10265,105700,57500,2982,81.164
74389,121400,57568,3297,66.844
59927,51600,30882,5301,326.912
50084,80200,25504,10089,85.994
62858,91400,39417,2052,58.859
96456,72700,36607,3323,105.859
54941,96000,52059,2773,104.09
98962,56300,40347,1185,67.128
10528,69200,38125,1876,165.328
91828,111200,60938,1078,60.233
48356,96000,67813,972,45.785
60706,93100,47159,868,13.917
57477,117100,50873,6350,114.965
89034,136700,66120,8858,105.449
91930,96500,39508,3180,176.294
71442,108100,59643,1080,53.534
65837,58100,34671,1186,81.372
91884,102700,37944,1211,34.83
99858,107400,56380,4090,76.124
79816,90200,48217,3255,74.839
87733,187500,85994,5699,19.177
47668,102000,45632,28293,295.237
10039,113500,42647,6522,134.661
70871,66700,31517,23592,90.577
45851,143100,55854,11350,199.92
81875,0,40481,888,50.576
99764,85500,55556,1424,48.191
62859,82100,45613,3548,63.654
62317,102700,58549,3855,83.262
78930,81000,43267,14882,107.29
56093,85800,52462,1304,51.727
93228,58200,27589,977,60.623
72679,86900,41346,932,53.312
56981,95300,43382,24385,312.319
50961,88000,51006,2346,104.446
99098,61600,49286,1541,101.701
